Subj,Day,Task,TSV,TA,TPV,Fatigue,Sleepiness,KSS,EasyVsHard,EffortLowHigh,PressureNoHigh,Capacity0v100,PoorVExcellent
S1,Day1,Stressed.end,0,28,2,1,1,1,6,7,7,7,6
S11,Day1,Stressed.end,-1.6,29,2,2,1,4,6,6,7,6,2
S12,Day3,Stressed.end,-2.9,29,2,2,2,6,6,6,6,6,2
S13,Day3,Stressed.end,-1,27,3,2,2,6,5,5,6,5,5
S15,Day4,Stressed.end,0,28,3,3,3,8,5,6,6,5,2
S17,Day2,Stressed.end,-1.3,28,2,3,3,3,5,7,5,6,6
S19,Day3,Stressed.end,0,28,1,2,1,6,5,6,1,6,5
S2,Day1,Stressed.end,0,27,2,3,3,7,6,5,5,5,5
S20,Day4,Stressed.end,0,28,1,2,2,3,6,6,5,6,6
S22,Day3,Stressed.end,0.5,28,1,2,2,4,5,6,5,6,5
S23,Day1,Stressed.end,0,28,2,2,2,5,2,2,1,6,5
S25,Day2,Stressed.end,-1,28,2,1,1,3,5,6,5,6,5
S26,Day4,Stressed.end,-1,28,2,2,2,6,2,7,2,6,6
S3,Day2,Stressed.end,-0.9,27,3,4,4,6,2,6,6,5,5
S5,Day2,Stressed.end,-1,28,1,1,2,6,6,6,5,6,6
S7,Day4,Stressed.end,-2,29,2,1,3,6,5,1,1,1,1
S1,Day1,Stressed.start,-1,28,2,1,1,1,na,na,na,na,na
S11,Day1,Stressed.start,-1.6,29,2,1,2,4,na,na,na,na,na
S12,Day3,Stressed.start,-2.6,29,2,1,1,5,na,na,na,na,na
S13,Day3,Stressed.start,0,28,2,2,2,6,na,na,na,na,na
S15,Day4,Stressed.start,-1,28,3,1,2,6,na,na,na,na,na
S17,Day2,Stressed.start,-1.4,28,2,1,1,3,na,na,na,na,na
S19,Day3,Stressed.start,0,28,1,2,1,6,na,na,na,na,na
S2,Day1,Stressed.start,0,26,2,4,4,8,na,na,na,na,na
S20,Day4,Stressed.start,0,28,1,2,2,3,na,na,na,na,na
S22,Day3,Stressed.start,-1,28,1,2,2,3,na,na,na,na,na
S23,Day1,Stressed.start,0,28,2,2,2,5,na,na,na,na,na
S25,Day2,Stressed.start,-1,28,2,1,1,2,na,na,na,na,na
S26,Day4,Stressed.start,-2,28,3,2,2,8,na,na,na,na,na
S3,Day2,Stressed.start,-1.1,27,2,2,2,3,na,na,na,na,na
S5,Day2,Stressed.start,-1,29,2,1,3,6,na,na,na,na,na
S7,Day4,Stressed.start,-2,29,2,1,1,6,na,na,na,na,na
S1,Day1,Relaxed.end,-1,28,2,2,2,3,2,2,2,2,5
S11,Day1,Relaxed.end,-1.5,29,2,1,3,6,5,6,1,5,5
S12,Day3,Relaxed.end,-1,26,2,1,2,6,1,1,1,6,6
S13,Day3,Relaxed.end,0,29,2,2,3,6,1,1,5,2,2
S15,Day4,Relaxed.end,0,28,3,2,3,9,1,2,1,1,5
S17,Day2,Relaxed.end,-1.5,28,2,3,3,3,1,2,1,6,6
S19,Day3,Relaxed.end,0,28,1,2,2,6,1,1,1,1,5
S2,Day1,Relaxed.end,-0.6,27,3,4,4,8,5,5,2,5,5
S20,Day4,Relaxed.end,0,28,1,2,2,3,2,2,2,2,2
S22,Day3,Relaxed.end,0,28,1,3,3,6,1,1,1,1,7
S23,Day1,Relaxed.end,0,28,2,3,3,6,1,1,1,1,1
S25,Day2,Relaxed.end,-1,28,1,2,2,4,2,1,2,6,6
S26,Day4,Relaxed.end,-2.1,26,3,4,4,9,2,2,1,1,2
S3,Day2,Relaxed.end,0.1,27,2,3,4,7,1,1,1,1,5
S5,Day2,Relaxed.end,-1.6,29,2,1,2,7,1,1,1,1,7
S7,Day4,Relaxed.end,-2,29,2,1,1,6,1,1,1,1,5
S1,Day1,Relaxed.start,-1,29,2,1,1,2,na,na,na,na,na
S11,Day1,Relaxed.start,-1.5,29,2,1,1,2,na,na,na,na,na
S12,Day3,Relaxed.start,-1,29,2,1,2,6,na,na,na,na,na
S13,Day3,Relaxed.start,0,29,2,2,2,6,na,na,na,na,na
S15,Day4,Relaxed.start,0,27,3,1,3,8,na,na,na,na,na
S17,Day2,Relaxed.start,-1.4,28,2,3,3,3,na,na,na,na,na
S19,Day3,Relaxed.start,-1,28,1,2,2,6,na,na,na,na,na
S2,Day1,Relaxed.start,0,26,2,2,2,4,na,na,na,na,na
S20,Day4,Relaxed.start,-0.1,28,1,2,2,3,na,na,na,na,na
S22,Day3,Relaxed.start,-1,28,1,2,2,8,na,na,na,na,na
S23,Day1,Relaxed.start,0,28,2,2,2,5,na,na,na,na,na
S25,Day2,Relaxed.start,-1.5,28,2,1,1,3,na,na,na,na,na
S26,Day4,Relaxed.start,-2.1,27,3,2,2,6,na,na,na,na,na
S3,Day2,Relaxed.start,0.1,27,3,1,2,4,na,na,na,na,na
S5,Day2,Relaxed.start,-2.1,29,2,1,2,6,na,na,na,na,na
S7,Day4,Relaxed.start,-2,29,2,1,4,7,na,na,na,na,na
